"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S2,S1";"MX_PCB_1.00u";2;"Keyswitch";;;
2;"U1";"Arduino_Pro_Micro";1;"Arduino_Pro_Micro";;;
